EXERCISE,PICTURE,VIDEO,TYPE
"Barbell Squats","https://www.builtlean.com/wp-content/uploads/2013/07/back-squat-1.jpg","https://www.youtube.com/watch?v=1xMaFs0L3ao","P"
"Leg Press","https://images-na.ssl-images-amazon.com/images/I/81adGnmey%2BL._SL1500_.jpg","https://www.youtube.com/watch?v=IZxyjW7MPJQ","P"
"Lunges","http://cdn2.coachmag.co.uk/sites/coachmag/files/2016/10/web_lunge.jpg","https://www.youtube.com/watch?v=QOVaHwm-Q6U","S"
"Hack Squat","https://www.bodybuilding.com/exercises/exerciseImages/sequences/56/Male/m/56_1.jpg","https://www.youtube.com/watch?v=0tn5K9NlCfo","S"
"Leg Extensions","https://www.bodybuilding.com/exercises/exerciseImages/sequences/53/Male/m/53_1.jpg","https://www.youtube.com/watch?v=YyvSfVjQeL0","A"
"Leg Curls","https://i.ytimg.com/vi/ELOCsoDSmrg/maxresdefault.jpg","https://www.youtube.com/watch?v=ELOCsoDSmrg","A"
