EXERCISE,PICTURE,VIDEO,TYPE
"Barbell Curls","http://www.burnthefatinnercircle.com/members/images/1751.jpg","https://www.youtube.com/embed/kwG2ipFRgfo","P"
"Dumbbell Curls","http://www.burnthefatinnercircle.com/members/images/1683.jpg","https://www.youtube.com/embed/sAq_ocpRh_I","P"
"Hammer Curls","http://www.burnthefatinnercircle.com/members/images/1510.jpg","https://www.youtube.com/embed/zC3nLlEvin4","S"
"Preacher Curls","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/ez-bar-preacher-curl-biceps-weights-main.jpg","https://www.youtube.com/embed/Po_HF7Yz0nI","S"
"Cable Curls","http://www.burnthefatinnercircle.com/members/images/1801.jpg","https://www.youtube.com/embed/cikXJydntCk","A"
"Concentration Curls","https://cdn-xi3mbccdkztvoept8hl.netdna-ssl.com/wp-content/uploads/watermarked/Concentration_Curls_M_WorkoutLabs.png","https://www.youtube.com/embed/Jvj2wV0vOYU","A"
