EXERCISE,PICTURE,VIDEO,TYPE
"Deadlift","https://www.t-nation.com/system/publishing/articles/10005894/original/The-5-Most-Dangerous-Deadlift-Mistakes.jpg?1517861498","https://www.youtube.com/embed/op9kVnSso6Q","P"
"Pullups","https://aretheyonsteroids.com/wp-content/uploads/2018/02/benefits-of-pull-ups.png","https://www.youtube.com/embed/IwlDSQx5u3A","P"
"Barbell Rows","http://upl.stack.com/wp-content/uploads/2017/03/31105406/Barbell-Row-Top-Position-STACK.png","https://www.youtube.com/embed/T3N-TO4reLQ","S"
"Pulldowns","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/styles/full_node_image_1090x614/public/flex/behind-the-neck-lat-pulldown-back.jpg?itok=UUUtWgAX&timestamp=1485197584","https://www.youtube.com/embed/JEb-dwU3VF4","S"
"Dumbbell Rows","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/dumbbell-row-weights-bench-main.jpg","https://www.youtube.com/embed/EEFHHOCfHgw","A"
"Pullovers","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpIvlFD1pKAiD6xrFhytWgQgw57z13l_LaavKamH-hcLEU_T2tAQ","https://www.youtube.com/embed/CujXuW9kEbg","A"
