EXERCISE,PICTURE,VIDEO,TYPE
"Dips","https://i.ytimg.com/vi/lZuogVd98oA/maxresdefault.jpg","https://www.youtube.com/embed/sM6XUdt1rm4","P"
"Skullcrushers","https://www.bodybuilding.com/fun/images/2015/your-complete-guide-to-skullcrushers-graphics-decline-skullcrusher-700xh.jpg","https://www.youtube.com/embed/d_KZxkY_0cM","P"
"Overhead Dumbbell Extensions","http://s3.amazonaws.com/prod.skimble/assets/1375615/image_iphone.jpg","https://www.youtube.com/embed/YbX7Wd8jQ-Q","S"
"Rope Pushdowns","https://www.bodybuilding.com/exercises/exerciseImages/sequences/54/Male/m/54_2.jpg","https://www.youtube.com/embed/vB5OHsJ3EME","S"
"Dumbbell Kickbacks","https://www.muscleandperformance.com/.image/t_share/MTQ1MzY2OTYyMTk5OTk1OTU5/make-one-change-lead.jpg","https://www.youtube.com/embed/6SS6K3lAwZ8","A"
"Overhead Cable Extensions","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/overhead-triceps-extension-main2.jpg","https://www.youtube.com/embed/hS82Wlo67O0","A"
